Date,RealizationDate,Portfolio,RealizedNextReturn
1985-12-01,1986-01-01,ME2 BM2,2.1732
1985-12-01,1986-01-01,ME2 BM3,0.7398
1985-12-01,1986-01-01,ME2 BM4,0.2156
1985-12-01,1986-01-01,ME2 BM5,2.4772
1985-12-01,1986-01-01,ME3 BM1,1.7716
1985-12-01,1986-01-01,ME3 BM2,3.0872
1985-12-01,1986-01-01,ME3 BM3,1.6371
1985-12-01,1986-01-01,ME3 BM4,2.1478
1985-12-01,1986-01-01,ME3 BM5,2.6065
1985-12-01,1986-01-01,ME4 BM1,1.1351
1985-12-01,1986-01-01,ME4 BM2,0.5037
1985-12-01,1986-01-01,ME4 BM3,1.965
1985-12-01,1986-01-01,ME4 BM4,2.7291
1985-12-01,1986-01-01,ME4 BM5,3.48
1985-12-01,1986-01-01,BIG LoBM,0.4246
1985-12-01,1986-01-01,ME5 BM2,1.3219
1985-12-01,1986-01-01,ME5 BM3,1.7331
1985-12-01,1986-01-01,ME5 BM4,-1.3781
1985-12-01,1986-01-01,BIG HiBM,1.4209
1986-01-01,1986-02-01,SMALL LoBM,5.8456
1986-01-01,1986-02-01,ME1 BM2,6.4923
1986-01-01,1986-02-01,ME1 BM3,6.5104
1986-01-01,1986-02-01,ME1 BM4,7.8458
1986-01-01,1986-02-01,SMALL HiBM,5.4909
1986-01-01,1986-02-01,ME2 BM1,7.4547
1986-01-01,1986-02-01,ME2 BM2,7.1148
1986-01-01,1986-02-01,ME2 BM3,7.1068
1986-01-01,1986-02-01,ME2 BM4,9.274
1986-01-01,1986-02-01,ME2 BM5,5.0557
1986-01-01,1986-02-01,ME3 BM1,6.7664
1986-01-01,1986-02-01,ME3 BM2,9.5758
1986-01-01,1986-02-01,ME3 BM3,7.7429
1986-01-01,1986-02-01,ME3 BM4,7.1936
1986-01-01,1986-02-01,ME3 BM5,6.3926
1986-01-01,1986-02-01,ME4 BM1,7.8687
1986-01-01,1986-02-01,ME4 BM2,9.4778
1986-01-01,1986-02-01,ME4 BM3,7.0236
1986-01-01,1986-02-01,ME4 BM4,7.2683
1986-01-01,1986-02-01,ME4 BM5,7.5316
1986-01-01,1986-02-01,BIG LoBM,7.5733
1986-01-01,1986-02-01,ME5 BM2,10.0511
1986-01-01,1986-02-01,ME5 BM3,8.765
1986-01-01,1986-02-01,ME5 BM4,6.5332
1986-01-01,1986-02-01,BIG HiBM,7.2164
1986-02-01,1986-03-01,SMALL LoBM,4.6244
1986-02-01,1986-03-01,ME1 BM2,5.4281
1986-02-01,1986-03-01,ME1 BM3,5.0816
1986-02-01,1986-03-01,ME1 BM4,4.5244
1986-02-01,1986-03-01,SMALL HiBM,6.512
1986-02-01,1986-03-01,ME2 BM1,3.6535
1986-02-01,1986-03-01,ME2 BM2,5.1407
1986-02-01,1986-03-01,ME2 BM3,5.7927
1986-02-01,1986-03-01,ME2 BM4,5.0182
1986-02-01,1986-03-01,ME2 BM5,6.3238
1986-02-01,1986-03-01,ME3 BM1,4.9975
1986-02-01,1986-03-01,ME3 BM2,7.3619
1986-02-01,1986-03-01,ME3 BM3,5.0898
1986-02-01,1986-03-01,ME3 BM4,5.9102
1986-02-01,1986-03-01,ME3 BM5,5.3786
1986-02-01,1986-03-01,ME4 BM1,5.9696
1986-02-01,1986-03-01,ME4 BM2,5.3
1986-02-01,1986-03-01,ME4 BM3,5.8745
1986-02-01,1986-03-01,ME4 BM4,3.9722
1986-02-01,1986-03-01,ME4 BM5,4.9128
1986-02-01,1986-03-01,BIG LoBM,6.0032
1986-02-01,1986-03-01,ME5 BM2,7.2801
